Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2,12.8,30.3,0.0,13,30.0,13,15,4.0,13.0,53.0,27.0,1010.5,1008.7,17.3,28.1,0,0
2,13.2,31.9,0.0,6,35.0,8,1,6.0,9.0,53.0,25.0,1014.1,1011.6,18.0,29.8,0,0
2,18.0,31.1,0.0,14,52.0,4,5,15.0,26.0,58.0,35.0,1014.7,1009.0,23.0,29.2,0,0
2,13.8,22.1,0.2,14,57.0,13,14,26.0,33.0,57.0,26.0,1014.5,1013.1,15.6,21.9,0,0
2,11.5,22.0,0.0,12,50.0,15,13,19.0,33.0,60.0,33.0,1013.7,1011.8,13.9,21.4,0,0
2,7.6,24.0,0.0,15,30.0,0,14,0.0,13.0,52.0,23.0,1014.5,1012.0,12.6,22.0,0,0
2,8.3,27.9,0.0,13,37.0,8,13,4.0,20.0,58.0,22.0,1015.2,1012.4,13.3,27.0,0,0
2,11.0,30.2,0.0,10,24.0,0,10,7.0,11.0,54.0,20.0,1017.0,1014.7,17.6,28.8,0,0
2,13.8,31.8,0.0,5,24.0,10,4,6.0,17.0,49.0,28.0,1019.7,1015.9,18.6,30.5,0,0
2,15.5,32.0,0.0,4,50.0,2,0,2.0,4.0,51.0,25.0,1019.5,1016.2,20.1,30.8,0,1
2,18.4,30.5,1.2,4,44.0,4,3,15.0,19.0,57.0,23.0,1021.3,1018.0,21.5,29.6,1,0
2,20.9,25.7,0.0,13,37.0,1,8,11.0,9.0,52.0,90.0,1019.5,1018.9,22.2,18.8,0,1
2,17.1,25.8,5.8,1,31.0,0,8,0.0,13.0,82.0,68.0,1017.4,1014.7,19.0,23.8,1,1
2,16.4,27.0,3.0,12,69.0,0,3,9.0,22.0,82.0,74.0,1012.7,1008.0,19.9,19.7,1,1
2,10.0,19.7,11.6,14,39.0,13,7,11.0,17.0,62.0,41.0,1013.4,1012.0,12.7,18.3,1,0
2,8.8,21.9,0.0,13,39.0,8,14,2.0,20.0,78.0,34.0,1013.3,1011.6,12.2,20.5,0,0
2,8.4,25.3,0.0,14,35.0,10,15,9.0,17.0,78.0,34.0,1015.6,1013.2,12.1,23.9,0,0
2,9.3,28.0,0.0,7,52.0,10,7,6.0,11.0,76.0,19.0,1017.4,1013.9,14.7,27.2,0,0
2,11.3,30.1,0.0,15,24.0,8,12,6.0,7.0,56.0,15.0,1016.3,1013.6,14.7,29.3,0,0
2,11.5,33.5,0.0,10,22.0,4,3,7.0,7.0,50.0,13.0,1016.5,1013.6,17.4,32.6,0,0
2,13.8,33.6,0.0,6,28.0,0,5,0.0,11.0,47.0,17.0,1017.0,1013.1,18.8,33.5,0,0
2,14.6,30.0,0.0,4,37.0,0,5,4.0,19.0,56.0,30.0,1014.8,1012.7,18.1,29.0,0,0
2,14.4,31.6,0.0,7,37.0,0,14,0.0,24.0,63.0,25.0,1013.7,1011.8,18.8,31.4,0,0
2,10.8,31.9,0.0,8,48.0,10,14,6.0,20.0,62.0,20.0,1016.5,1014.4,15.4,30.7,0,0
2,15.4,22.3,0.4,1,30.0,10,10,11.0,9.0,69.0,78.0,1017.4,1019.2,18.3,19.6,0,1
2,13.3,29.8,1.8,15,33.0,0,14,0.0,20.0,87.0,26.0,1019.1,1017.2,16.2,29.2,1,0
2,10.1,27.6,0.0,14,43.0,0,13,0.0,11.0,63.0,30.0,1023.0,1020.7,16.5,26.8,0,0
2,9.1,28.9,0.0,6,24.0,3,3,2.0,17.0,60.0,26.0,1023.8,1020.6,14.0,27.7,0,0
2,10.4,31.2,0.0,8,22.0,0,9,0.0,6.0,60.0,18.0,1022.4,1019.1,16.0,29.9,0,0
2,13.4,30.4,0.0,1,22.0,0,9,0.0,9.0,57.0,16.0,1023.0,1019.5,17.2,29.2,0,0
2,12.3,29.9,0.0,15,26.0,8,11,2.0,13.0,61.0,25.0,1023.2,1019.5,17.1,28.6,0,0
2,12.2,30.6,0.0,9,22.0,0,1,0.0,6.0,59.0,22.0,1022.6,1019.4,16.6,29.5,0,0
2,14.3,32.1,0.0,4,28.0,0,1,0.0,11.0,59.0,30.0,1022.6,1018.4,18.4,30.9,0,1
2,18.4,28.1,8.6,13,98.0,0,5,7.0,17.0,92.0,49.0,1018.8,1012.9,19.0,27.4,1,1
2,10.7,21.4,12.6,13,43.0,0,15,0.0,13.0,60.0,33.0,1019.8,1019.3,13.9,20.3,1,0
2,7.8,21.7,0.0,15,31.0,0,7,6.0,19.0,72.0,37.0,1020.4,1016.5,12.9,21.2,0,0
2,8.1,21.4,0.0,13,35.0,10,15,13.0,19.0,58.0,20.0,1021.8,1019.6,13.8,20.9,0,0
2,7.5,22.5,0.0,9,28.0,8,8,7.0,7.0,55.0,27.0,1026.7,1023.5,13.3,21.6,0,0
2,8.2,24.0,0.0,10,17.0,10,10,7.0,13.0,60.0,30.0,1027.1,1023.4,13.8,23.5,0,0
2,8.1,25.7,0.0,1,22.0,2,8,9.0,13.0,67.0,27.0,1024.2,1019.6,15.1,25.0,0,0
2,11.6,26.7,0.0,13,48.0,9,4,6.0,11.0,59.0,42.0,1021.5,1017.7,16.4,24.3,0,1
2,13.0,24.9,8.4,13,46.0,8,0,6.0,11.0,75.0,47.0,1024.4,1020.3,18.0,24.4,1,1
2,13.5,24.2,6.2,15,20.0,0,9,0.0,6.0,88.0,52.0,1024.1,1020.8,15.4,23.1,1,0
2,9.9,25.4,0.0,5,19.0,1,11,4.0,7.0,65.0,35.0,1023.0,1018.7,16.1,25.0,0,0
2,12.2,25.0,0.0,14,30.0,0,13,0.0,15.0,68.0,39.0,1016.3,1011.6,16.2,24.6,0,0
2,10.7,21.9,0.0,13,63.0,7,13,26.0,31.0,44.0,27.0,1008.2,1009.8,20.5,18.9,0,0
2,3.5,20.0,0.0,13,31.0,0,14,0.0,13.0,65.0,30.0,1016.3,1012.8,9.6,19.4,0,0
2,6.6,21.6,0.0,14,26.0,1,13,6.0,11.0,59.0,39.0,1018.5,1016.8,12.6,21.6,0,0
