Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2,8.9,17.4,8.0,1,13.0,7,0,2.0,4.0,99.0,58.0,1021.0,1017.5,11.3,16.5,1,0
2,2.8,16.1,0.0,13,20.0,5,13,4.0,11.0,86.0,57.0,1017.9,1015.1,7.6,15.6,0,0
2,3.0,10.5,5.6,14,37.0,13,15,15.0,22.0,77.0,56.0,1017.6,1018.4,4.9,9.7,1,0
2,0.5,14.9,0.4,2,13.0,5,3,2.0,0.0,99.0,63.0,1013.9,1012.8,5.4,13.9,0,0
2,1.2,17.7,0.0,9,17.0,3,2,0.0,6.0,83.0,49.0,1022.3,1022.2,6.6,15.4,0,0
2,0.6,15.9,0.0,15,13.0,3,13,0.0,2.0,94.0,52.0,1029.7,1027.7,5.6,14.9,0,0
2,0.5,14.7,0.0,3,11.0,3,3,6.0,0.0,99.0,63.0,1031.6,1028.6,4.7,14.5,0,0
2,0.5,15.3,0.0,2,13.0,4,9,6.0,6.0,93.0,56.0,1030.8,1027.1,5.4,15.1,0,0
2,5.7,13.2,0.0,14,39.0,14,14,15.0,24.0,91.0,76.0,1016.3,1014.9,7.9,12.6,0,0
2,3.4,12.4,0.0,13,31.0,13,13,9.0,15.0,80.0,56.0,1019.9,1019.0,7.0,12.0,0,0
2,0.0,12.1,0.0,1,19.0,5,15,7.0,7.0,99.0,65.0,1022.4,1020.4,2.3,11.4,0,0
2,-1.5,12.5,0.0,0,19.0,3,1,0.0,7.0,91.0,46.0,1026.0,1024.6,2.4,12.4,0,0
2,-1.7,13.8,0.0,0,17.0,3,2,0.0,7.0,84.0,54.0,1030.4,1028.1,3.3,12.4,0,0
2,-0.4,15.0,0.2,2,13.0,3,9,0.0,7.0,84.0,54.0,1032.0,1028.6,3.8,14.3,0,0
2,0.1,13.5,0.0,0,13.0,3,10,0.0,9.0,93.0,62.0,1028.7,1023.8,4.8,13.4,0,0
2,-0.3,12.2,0.0,4,20.0,3,4,0.0,9.0,95.0,61.0,1026.8,1022.7,2.5,10.8,0,0
2,2.1,9.8,0.0,10,13.0,3,0,0.0,2.0,85.0,74.0,1018.0,1013.7,4.4,9.6,0,0
2,7.4,13.9,0.2,13,30.0,3,14,0.0,15.0,99.0,70.0,1026.8,1025.3,8.9,13.3,0,0
2,7.5,14.1,0.8,6,30.0,12,6,2.0,17.0,94.0,65.0,1027.9,1024.8,10.5,13.3,0,0
2,8.3,13.8,0.8,6,37.0,13,14,20.0,15.0,79.0,49.0,1023.1,1022.9,9.9,13.6,0,0
2,5.1,17.1,0.4,3,35.0,3,4,0.0,19.0,99.0,58.0,1021.9,1016.7,8.0,16.6,0,0
2,-0.8,12.9,4.2,14,24.0,0,15,6.0,6.0,78.0,50.0,1026.4,1023.0,4.4,12.3,1,0
2,-1.0,12.2,0.0,2,15.0,8,0,2.0,7.0,91.0,48.0,1021.6,1018.5,2.0,12.1,0,0
2,1.9,14.8,0.2,9,20.0,10,9,4.0,11.0,72.0,60.0,1018.6,1014.7,5.9,12.6,0,0
